UBIGEO,N_MERCADOS_2017,N_MERCADOS_2022,N_MERCADOS_2023
150704,0,0,0
150705,1,1,1
150706,0,0,0
150707,0,0,0
150708,0,0,0
150709,0,0,0
150710,0,0,0
150711,0,0,0
150712,0,0,0
150713,0,0,0
150714,1,1,1
150715,0,0,0
150716,0,0,0
150717,0,0,0
150718,0,0,0
150719,0,0,0
150720,0,0,0
150721,0,0,0
150722,2,2,2
150723,0,0,0
150724,0,0,0
150725,0,0,0
150726,0,0,0
150727,0,0,0
150728,0,0,0
150729,0,0,0
150730,0,0,0
150731,0,0,0
150732,0,0,0
150801,19,19,19
150802,0,0,0
150803,0,0,0
150804,0,0,0
150805,3,3,3
150806,2,2,2
150807,1,1,1
150808,0,0,0
150809,0,0,0
150810,2,2,2
150811,2,2,2
150812,3,3,3
150901,1,1,1
150902,0,0,0
150903,0,0,0
150904,0,0,0
150905,0,0,0
150906,1,1,1
151001,1,1,1
151002,0,0,0
151003,0,0,0
151004,0,0,0
151005,0,0,0
151006,0,0,0
151007,0,0,0
151008,0,0,0
151009,0,0,0
151010,0,0,0
151011,0,0,0
151012,0,0,0
151013,0,0,0
151014,0,0,0
151015,0,0,0
151016,0,0,0
151017,1,1,1
151018,0,0,0
151019,0,0,0
151020,0,0,0
151021,0,0,0
151022,0,0,0
151023,0,0,0
151024,1,1,1
151025,1,1,1
151026,1,1,1
151027,0,0,0
151028,0,0,0
151029,0,0,0
151030,0,0,0
151031,0,0,0
151032,0,0,0
151033,0,0,0
160101,5,5,5
160102,0,0,0
160103,1,1,1
160104,1,1,1
160105,0,0,0
160106,1,1,1
160107,0,0,0
160108,2,2,2
160110,0,0,0
160112,1,1,1
160113,1,1,1
160201,5,5,5
160202,0,0,0
160205,0,0,0
160206,1,1,1
160210,0,0,0
160211,0,0,0
160301,1,1,1
160302,0,0,0
160303,0,0,0
160304,0,0,0
160305,0,0,0
160401,0,0,0
160402,1,1,1
160403,1,1,1
160404,1,1,1
160501,1,1,1
160502,0,0,0
160503,0,0,0
160504,0,0,0
160505,0,0,0
160506,0,0,0
160507,0,0,0
160508,0,0,0
160509,0,0,0
160510,1,1,1
160511,0,0,0
160601,3,3,3
160602,1,1,1
160603,0,0,0
160604,0,0,0
160605,0,0,0
160606,1,1,1
160701,1,1,1
160702,0,0,0
160703,0,0,0
160704,0,0,0
160705,1,1,1
160706,0,0,0
160801,1,1,1
160802,0,0,0
160803,0,0,0
160804,0,0,0
170101,7,7,7
170102,1,1,1
170103,1,1,1
170104,2,2,2
170201,1,1,1
170202,0,0,0
170203,1,1,1
170204,1,1,1
170302,1,1,1
170303,0,0,0
180101,5,5,5
180102,0,0,0
180103,0,0,0
180104,1,1,1
180104,1,1,1
180105,0,0,0
180106,0,0,0
180201,0,0,0
180202,0,0,0
180203,0,0,0
180204,1,1,1
180205,0,0,0
180206,0,0,0
180207,0,0,0
180208,0,0,0
180209,0,0,0
180210,0,0,0
180211,0,0,0
180301,6,6,6
